****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.033	Loglikelihood: -46694.9	(delta): 222781
2 (EM) 	Elapsed: 0.028	Loglikelihood: -42093.1	(delta): 4601.74
3 (EM) 	Elapsed: 0.024	Loglikelihood: -41254.8	(delta): 838.306
4 (EM) 	Elapsed: 0.022	Loglikelihood: -40671.3	(delta): 583.579
5 (EM) 	Elapsed: 0.021	Loglikelihood: -40166.7	(delta): 504.508
Initial loglikelihood: -40166.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.04	Loglikelihood: -39210.1	(delta): 956.626
2 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -38217.9	(delta): 992.263
3 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -35231.1	(delta): 2986.74
4 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -33830.4	(delta): 1400.71
5 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -31206.6	(delta): 2623.84
6 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -30325.2	(delta): 881.333
7 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -25846.4	(delta): 4478.86
8 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -24317.3	(delta): 1529.09
9 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -23178.5	(delta): 1138.83
10 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -22656	(delta): 522.474
11 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -22179.2	(delta): 476.793
12 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -21422.4	(delta): 756.769
13 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -20556.4	(delta): 866.011
14 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19550.2	(delta): 1006.21
15 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -19336.5	(delta): 213.684
16 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -19010.7	(delta): 325.861
17 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18701.9	(delta): 308.746
18 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18621.2	(delta): 80.7132
19 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18569.2	(delta): 52.025
20 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -18548.4	(delta): 20.7659
21 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18474.6	(delta): 73.7859
22 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18419.9	(delta): 54.7672
23 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18376	(delta): 43.8963
24 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -18276.9	(delta): 99.047
25 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18181.4	(delta): 95.4996
26 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -18071	(delta): 110.395
27 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18020.9	(delta): 50.1347
28 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17914.7	(delta): 106.216
29 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17871.1	(delta): 43.5608
30 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17806.9	(delta): 64.181
31 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17669.5	(delta): 137.394
32 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17610.3	(delta): 59.2631
