****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.047	Loglikelihood: -46918.4	(delta): 222894
2 (EM) 	Elapsed: 0.035	Loglikelihood: -41831.3	(delta): 5087.18
3 (EM) 	Elapsed: 0.03	Loglikelihood: -40862.5	(delta): 968.734
4 (EM) 	Elapsed: 0.025	Loglikelihood: -40213.3	(delta): 649.222
5 (EM) 	Elapsed: 0.024	Loglikelihood: -39626.4	(delta): 586.899
Initial loglikelihood: -39626.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -38456.7	(delta): 1169.7
2 (QN/EM) 	Elapsed: 0.041	Loglikelihood: -37225.8	(delta): 1230.9
3 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -32355.3	(delta): 4870.47
4 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -31189.8	(delta): 1165.54
5 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -29872.5	(delta): 1317.33
6 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -27066.5	(delta): 2805.99
7 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -25270.4	(delta): 1796.07
8 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -23449.5	(delta): 1820.94
9 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -22772.8	(delta): 676.638
10 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -21387.7	(delta): 1385.16
11 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20974.1	(delta): 413.548
12 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -20708.8	(delta): 265.359
13 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20359.4	(delta): 349.375
14 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -20079.6	(delta): 279.768
15 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19539.3	(delta): 540.307
16 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19291.6	(delta): 247.685
17 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -19178.3	(delta): 113.349
18 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18824.1	(delta): 354.2
19 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -18672.9	(delta): 151.231
20 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18573.1	(delta): 99.718
21 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -18531.7	(delta): 41.4335
22 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18483.8	(delta): 47.9466
23 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18353.5	(delta): 130.313
24 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -18017.6	(delta): 335.877
25 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17896.1	(delta): 121.464
26 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17870	(delta): 26.156
27 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17859.2	(delta): 10.7689
28 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17847.3	(delta): 11.8775
29 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17833.3	(delta): 13.9995
30 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17818.8	(delta): 14.4998
31 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17806.6	(delta): 12.2587
32 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17795.5	(delta): 11.0355
33 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17776.5	(delta): 19.0233
34 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17690.3	(delta): 86.1501
35 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17641.1	(delta): 49.2426
36 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17592	(delta): 49.1125
37 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17579.3	(delta): 12.7314
38 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17570.3	(delta): 8.92636
39 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17532.8	(delta): 37.5416
40 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17523.9	(delta): 8.89926
41 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17439.2	(delta): 84.7157
42 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17416	(delta): 23.1762
43 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17322.1	(delta): 93.8699
44 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17267.5	(delta): 54.6014
45 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17249.1	(delta): 18.4542
46 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17236.3	(delta): 12.8018
47 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17227.4	(delta): 8.8598
48 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17219.8	(delta): 7.59823
49 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17217.3	(delta): 2.48456
50 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17214.8	(delta): 2.51421
51 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17212.3	(delta): 2.5338
52 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17202.3	(delta): 9.97462
53 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17173.3	(delta): 29.0205
54 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17161.8	(delta): 11.5073
55 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17158.6	(delta): 3.21865
56 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17154.8	(delta): 3.78906
57 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17151.3	(delta): 3.48646
58 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17149.8	(delta): 1.52128
59 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17148.3	(delta): 1.51065
60 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17128.9	(delta): 19.33
61 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17123.8	(delta): 5.12501
62 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17121.4	(delta): 2.39376
63 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -17120.1	(delta): 1.28298
64 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17111	(delta): 9.16781
65 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17102	(delta): 8.9074
66 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17094.3	(delta): 7.73417
67 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17091.8	(delta): 2.49393
68 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17090.8	(delta): 1.03723
69 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17089.3	(delta): 1.47139
70 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17086.6	(delta): 2.68801
71 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17084.3	(delta): 2.36311
72 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17081.8	(delta): 2.42626
73 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17076	(delta): 5.80631
74 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17073.4	(delta): 2.62494
75 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17072.3	(delta): 1.06982
76 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17065.7	(delta): 6.63653
77 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17060.7	(delta): 5.01525
78 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17054.6	(delta): 6.11378
79 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17051.4	(delta): 3.15964
80 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17047.4	(delta): 3.97093
81 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17046.2	(delta): 1.23297
82 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17041.7	(delta): 4.50183
