****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.054	Loglikelihood: -47199.5	(delta): 220389
2 (EM) 	Elapsed: 0.04	Loglikelihood: -41942.3	(delta): 5257.19
3 (EM) 	Elapsed: 0.034	Loglikelihood: -40921.2	(delta): 1021.12
4 (EM) 	Elapsed: 0.029	Loglikelihood: -40214.1	(delta): 707.092
5 (EM) 	Elapsed: 0.03	Loglikelihood: -39572.7	(delta): 641.411
Initial loglikelihood: -39572.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.057	Loglikelihood: -38296.4	(delta): 1276.33
2 (QN/EM) 	Elapsed: 0.057	Loglikelihood: -36909.1	(delta): 1387.27
3 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -30976	(delta): 5933.14
4 (QN/EM) 	Elapsed: 0.061	Loglikelihood: -29554.3	(delta): 1421.71
5 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -25122.8	(delta): 4431.43
6 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -21771.8	(delta): 3351.01
7 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -20287	(delta): 1484.8
8 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -19747.2	(delta): 539.865
9 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -19372	(delta): 375.193
10 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -19052.6	(delta): 319.338
11 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -18533.8	(delta): 518.837
12 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -17955.6	(delta): 578.205
13 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -17384.1	(delta): 571.48
14 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -17160.5	(delta): 223.563
15 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -16709.6	(delta): 450.887
16 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -16578	(delta): 131.623
17 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -16305.7	(delta): 272.328
18 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15986.1	(delta): 319.563
19 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15835.6	(delta): 150.558
20 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -15801.3	(delta): 34.2734
21 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -15776.1	(delta): 25.2295
22 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15689.4	(delta): 86.6783
23 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15606	(delta): 83.3724
24 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15562.7	(delta): 43.3413
25 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15544.9	(delta): 17.8138
26 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15494	(delta): 50.8763
27 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15453.6	(delta): 40.3545
28 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15428.9	(delta): 24.7178
29 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15417.2	(delta): 11.7074
30 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -15406.3	(delta): 10.8959
31 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -15392.4	(delta): 13.9487
32 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -15382.4	(delta): 9.92391
33 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15325.9	(delta): 56.5351
34 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -15316.8	(delta): 9.06125
35 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15297.2	(delta): 19.6839
36 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15284.8	(delta): 12.3507
37 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15240.8	(delta): 44.025
38 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15216.5	(delta): 24.2741
39 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15107.9	(delta): 108.628
40 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15065.5	(delta): 42.3535
41 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15053.7	(delta): 11.8256
42 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15041.8	(delta): 11.9251
43 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15032.6	(delta): 9.21643
44 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15019.3	(delta): 13.234
45 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15012.9	(delta): 6.45905
46 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -15006.6	(delta): 6.3056
47 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -15000.9	(delta): 5.62787
48 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -14987.3	(delta): 13.5915
49 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14981.8	(delta): 5.52755
50 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14975.7	(delta): 6.10085
51 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14972.1	(delta): 3.57013
52 (QN/EM) 	Elapsed: 0.059	Loglikelihood: -14958.7	(delta): 13.4301
53 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14948.2	(delta): 10.5242
54 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14934.9	(delta): 13.2824
55 (QN/EM) 	Elapsed: 0.058	Loglikelihood: -14931.9	(delta): 3.01691
56 (QN/EM) 	Elapsed: 0.06	Loglikelihood: -14929	(delta): 2.86557
