****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.012	Loglikelihood: -46121.9	(delta): 247449
2 (EM) 	Elapsed: 0.011	Loglikelihood: -42406.5	(delta): 3715.43
3 (EM) 	Elapsed: 0.01	Loglikelihood: -41717	(delta): 689.496
4 (EM) 	Elapsed: 0.009	Loglikelihood: -41320.2	(delta): 396.794
5 (EM) 	Elapsed: 0.009	Loglikelihood: -41048.5	(delta): 271.772
Initial loglikelihood: -41048.5
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -40674.8	(delta): 373.613
2 (QN/EM) 	Elapsed: 0.025	Loglikelihood: -40397.5	(delta): 277.388
3 (QN/EM) 	Elapsed: 0.025	Loglikelihood: -40149.7	(delta): 247.722
4 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -39901.9	(delta): 247.864
5 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -38854.3	(delta): 1047.52
6 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -36709.6	(delta): 2144.79
7 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -36045.5	(delta): 664.054
8 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -34616.3	(delta): 1429.2
9 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -32535.1	(delta): 2081.22
10 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -31119.7	(delta): 1415.38
11 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -30577.9	(delta): 541.831
12 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -30294.8	(delta): 283.074
13 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -30140.7	(delta): 154.13
14 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -29608.7	(delta): 531.983
15 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -29344.4	(delta): 264.247
16 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -29095.1	(delta): 249.365
17 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -28999.6	(delta): 95.4474
18 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -28433	(delta): 566.665
19 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -28199.3	(delta): 233.687
20 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -28084.4	(delta): 114.91
21 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27956.8	(delta): 127.514
22 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27902.7	(delta): 54.1552
23 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27842.7	(delta): 60.0074
24 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27801.2	(delta): 41.445
25 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27779.8	(delta): 21.4127
26 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27760.4	(delta): 19.4261
27 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27744.1	(delta): 16.3161
28 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27706.3	(delta): 37.7439
29 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27693.4	(delta): 12.9445
30 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27681.8	(delta): 11.5682
31 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27678.5	(delta): 3.29084
32 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27663.2	(delta): 15.3045
33 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27654.9	(delta): 8.30386
34 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27647.5	(delta): 7.40502
35 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27646.3	(delta): 1.25597
36 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27644.9	(delta): 1.32902
37 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27644.1	(delta): 0.83854
38 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27640.8	(delta): 3.25389
39 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27640.3	(delta): 0.591417
40 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27640.1	(delta): 0.203307
41 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27639.7	(delta): 0.350742
42 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -27639.4	(delta): 0.272422
43 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27638.7	(delta): 0.753438
44 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27638.5	(delta): 0.171284
45 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27638.4	(delta): 0.0965841
46 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27637.8	(delta): 0.592332
