****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.048	Loglikelihood: -47108.9	(delta): 218450
2 (EM) 	Elapsed: 0.039	Loglikelihood: -41859.4	(delta): 5249.48
3 (EM) 	Elapsed: 0.034	Loglikelihood: -40884.2	(delta): 975.192
4 (EM) 	Elapsed: 0.032	Loglikelihood: -40242.3	(delta): 641.943
5 (EM) 	Elapsed: 0.032	Loglikelihood: -39678	(delta): 564.316
Initial loglikelihood: -39678
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.069	Loglikelihood: -38581	(delta): 1097
2 (QN/EM) 	Elapsed: 0.068	Loglikelihood: -37414.2	(delta): 1166.75
3 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -32991.6	(delta): 4422.61
4 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -31762.3	(delta): 1229.28
5 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -26858.8	(delta): 4903.51
6 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -24840	(delta): 2018.79
7 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -24304.2	(delta): 535.792
8 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -23686.1	(delta): 618.114
9 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -22490.7	(delta): 1195.42
10 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -21210.4	(delta): 1280.29
11 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -20591.4	(delta): 619.016
12 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -20189.8	(delta): 401.61
13 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -19936.4	(delta): 253.355
14 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -19552.2	(delta): 384.207
15 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -19274.8	(delta): 277.417
16 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -19027.3	(delta): 247.508
17 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18881.2	(delta): 146.073
18 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18689.7	(delta): 191.54
19 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18564.3	(delta): 125.354
20 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18334.5	(delta): 229.813
21 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18138.8	(delta): 195.657
22 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -18026.8	(delta): 112.083
23 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17966.6	(delta): 60.1172
24 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17926	(delta): 40.6313
25 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17862.6	(delta): 63.4167
26 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -17812.6	(delta): 50.0186
27 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17692.5	(delta): 120.068
28 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17623.3	(delta): 69.2101
29 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17599.6	(delta): 23.6703
30 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17575.5	(delta): 24.1284
31 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17559.5	(delta): 15.9684
32 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17515.9	(delta): 43.6285
33 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17474.5	(delta): 41.4208
34 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17422.2	(delta): 52.2741
35 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17411.9	(delta): 10.3002
36 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17380.9	(delta): 31.0141
37 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17374.1	(delta): 6.79492
38 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17367.4	(delta): 6.65716
39 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17361	(delta): 6.47239
40 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -17354.8	(delta): 6.13871
41 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17349	(delta): 5.8528
42 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17329.1	(delta): 19.861
43 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17244.7	(delta): 84.4681
44 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17173.5	(delta): 71.1353
45 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17158.6	(delta): 14.891
46 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17154.6	(delta): 4.0592
47 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17149.3	(delta): 5.21982
48 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17146.8	(delta): 2.56835
49 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -17136.4	(delta): 10.364
50 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17125.4	(delta): 11.0097
51 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -17107.4	(delta): 18.0023
52 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17071.8	(delta): 35.5659
53 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17064.7	(delta): 7.0892
54 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17060.7	(delta): 4.07934
55 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -17053.9	(delta): 6.8115
56 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17051.2	(delta): 2.65005
57 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -17019.2	(delta): 32.0443
58 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16991.4	(delta): 27.7755
59 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16979.2	(delta): 12.1602
60 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16970.3	(delta): 8.94179
61 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16965.6	(delta): 4.64636
62 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16963.3	(delta): 2.3684
63 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16960.6	(delta): 2.66486
64 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16958.5	(delta): 2.08155
65 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16950.8	(delta): 7.70342
66 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16943.8	(delta): 7.05712
67 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16937.1	(delta): 6.69502
68 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16934	(delta): 3.10942
69 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16925.9	(delta): 8.06671
70 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16920.5	(delta): 5.39279
71 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16916.6	(delta): 3.93105
72 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16914	(delta): 2.52921
73 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16902.2	(delta): 11.8499
74 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16896.4	(delta): 5.79288
75 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16888.2	(delta): 8.1731
76 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16887.2	(delta): 1.01266
77 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16880.8	(delta): 6.36333
78 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16878.7	(delta): 2.13922
79 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16877.4	(delta): 1.26993
80 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16874.2	(delta): 3.23628
81 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16872.5	(delta): 1.73069
82 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16870.6	(delta): 1.83563
83 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16868.4	(delta): 2.28039
84 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16865.6	(delta): 2.79588
85 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16854.2	(delta): 11.3244
86 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16852.2	(delta): 1.98425
87 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16827.7	(delta): 24.5152
88 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16815.3	(delta): 12.4691
89 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16807	(delta): 8.2554
90 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16806.1	(delta): 0.892258
91 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16805	(delta): 1.11614
92 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16804.1	(delta): 0.945525
93 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16802.7	(delta): 1.32502
94 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16801.3	(delta): 1.39803
95 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -16801	(delta): 0.373758
96 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16798.3	(delta): 2.67253
97 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16793.1	(delta): 5.2226
98 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16792.6	(delta): 0.475478
99 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16792	(delta): 0.543368
100 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16789.5	(delta): 2.5029
101 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16784.8	(delta): 4.70633
102 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16782.9	(delta): 1.9335
103 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16781.3	(delta): 1.62503
104 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16774.5	(delta): 6.77466
105 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16771.2	(delta): 3.27546
106 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16768.9	(delta): 2.33954
107 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16760.8	(delta): 8.07054
108 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16755.1	(delta): 5.68622
109 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16750.9	(delta): 4.25226
110 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16746.2	(delta): 4.6705
111 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16744.3	(delta): 1.92155
112 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16738.7	(delta): 5.59477
113 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16735	(delta): 3.66816
114 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16724.5	(delta): 10.5644
115 (QN/EM) 	Elapsed: 0.071	Loglikelihood: -16716.9	(delta): 7.53939
116 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16697.1	(delta): 19.8242
117 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16689.8	(delta): 7.30755
118 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16682.9	(delta): 6.9156
119 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16678.9	(delta): 3.97432
120 (QN/EM) 	Elapsed: 0.073	Loglikelihood: -16676.1	(delta): 2.84099
121 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16669.6	(delta): 6.48295
122 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16666	(delta): 3.56458
123 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16664.2	(delta): 1.82332
124 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16662.6	(delta): 1.54241
125 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16657.3	(delta): 5.30752
126 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16646.4	(delta): 10.9541
127 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16636.6	(delta): 9.82067
128 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16634.1	(delta): 2.45094
129 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16632.9	(delta): 1.16777
130 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16631.5	(delta): 1.4241
131 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16630.7	(delta): 0.77727
132 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16627.1	(delta): 3.63038
133 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16616.4	(delta): 10.7255
134 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16606.1	(delta): 10.2897
135 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16605.7	(delta): 0.442622
136 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16605.3	(delta): 0.368085
137 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16604.8	(delta): 0.528895
138 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16602.6	(delta): 2.12063
139 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16593.7	(delta): 8.92627
140 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16592.2	(delta): 1.5319
141 (QN/EM) 	Elapsed: 0.07	Loglikelihood: -16589.7	(delta): 2.47489
142 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16588.1	(delta): 1.64787
143 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16586.7	(delta): 1.33689
144 (QN/EM) 	Elapsed: 0.072	Loglikelihood: -16585.5	(delta): 1.22044
