****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.042	Loglikelihood: -46815.3	(delta): 227812
2 (EM) 	Elapsed: 0.033	Loglikelihood: -42232.4	(delta): 4582.86
3 (EM) 	Elapsed: 0.028	Loglikelihood: -41432.1	(delta): 800.324
4 (EM) 	Elapsed: 0.025	Loglikelihood: -40929.5	(delta): 502.579
5 (EM) 	Elapsed: 0.022	Loglikelihood: -40501.7	(delta): 427.783
Initial loglikelihood: -40501.7
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -39734.9	(delta): 766.86
2 (QN/EM) 	Elapsed: 0.035	Loglikelihood: -39015.1	(delta): 719.743
3 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -34384.5	(delta): 4630.6
4 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -32115.2	(delta): 2269.3
5 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -29759.2	(delta): 2356.04
6 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -28270.8	(delta): 1488.35
7 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -25386.4	(delta): 2884.44
8 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -24079.8	(delta): 1306.59
9 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -23268.3	(delta): 811.474
10 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -22930.1	(delta): 338.211
11 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -22556.6	(delta): 373.551
12 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -22179.6	(delta): 376.947
13 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -21126.7	(delta): 1052.96
14 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -20772.6	(delta): 354.008
15 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -20374.2	(delta): 398.422
16 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -20140.5	(delta): 233.764
17 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19895.3	(delta): 245.127
18 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19800.1	(delta): 95.2207
19 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19724.8	(delta): 75.2889
20 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -19699.3	(delta): 25.4792
21 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19531.4	(delta): 167.905
22 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19388.3	(delta): 143.179
23 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19270.7	(delta): 117.571
24 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19212.8	(delta): 57.9264
25 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19158	(delta): 54.7831
