****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x966
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.009	Loglikelihood: -42307.9	(delta): 129390
2 (EM) 	Elapsed: 0.01	Loglikelihood: -38831.8	(delta): 3476.15
3 (EM) 	Elapsed: 0.01	Loglikelihood: -38139.2	(delta): 692.572
4 (EM) 	Elapsed: 0.01	Loglikelihood: -37661.4	(delta): 477.807
5 (EM) 	Elapsed: 0.01	Loglikelihood: -37238	(delta): 423.388
Initial loglikelihood: -37238
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -36375.2	(delta): 862.77
2 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -35317.1	(delta): 1058.16
3 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -30663.4	(delta): 4653.64
4 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -27393.4	(delta): 3270.03
5 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -26226.1	(delta): 1167.33
6 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -25369	(delta): 857.099
7 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -23951.3	(delta): 1417.67
8 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -22834.7	(delta): 1116.56
9 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -21521.7	(delta): 1313.02
10 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -21164.2	(delta): 357.546
